CIDADE,LATITUDE,LONGITUDE
Espírito Santo do Dourado,-22.0454,-45.9548
Estiva,-22.4577,-46.0191
Estrela Dalva,-21.7412,-42.4574
Estrela do Indaiá,-19.5169,-45.7859
Estrela do Sul,-18.7399,-47.6956
Eugenópolis,-21.1002,-42.1878
Ewbank da Câmara,-21.5498,-43.5068
Extrema,-22.854,-46.3178
Fama,-21.4089,-45.8286
Faria Lemos,-20.8097,-42.0213
Felisburgo,-16.6348,-40.7605
Felício dos Santos,-18.0755,-43.2422
Fernandes Tourinho,-19.1541,-42.0803
Ferros,-19.2343,-43.0192
Fervedouro,-20.726,-42.279
Florestal,-19.888,-44.4318
Formiga,-20.4618,-45.4268
Formoso,-14.9446,-46.2371
Fortaleza de Minas,-20.8508,-46.712
Fortuna de Minas,-19.5578,-44.4472
Francisco Badaró,-16.9883,-42.3568
Francisco Dumont,-17.3107,-44.2317
Francisco Sá,-16.4827,-43.4896
Franciscópolis,-17.9578,-42.0094
Frei Gaspar,-18.0709,-41.4325
Frei Inocêncio,-18.5556,-41.9121
Frei Lagonegro,-18.1751,-42.7617
Fronteira,-20.2748,-49.1984
Fronteira dos Vales,-16.8898,-40.923
Fruta de Leite,-16.1225,-42.5288
Funilândia,-19.3661,-44.061
Galiléia,-19.0005,-41.5387
Gameleiras,-15.0829,-43.125
Glaucilândia,-16.8481,-43.692
Goiabeira,-18.9807,-41.2235
Gonzaga,-18.8196,-42.4769
Gonçalves,-22.6545,-45.8556
Gouveia,-18.4519,-43.7423
Grupiara,-18.5003,-47.7318
Grão Mogol,-16.5662,-42.8923
Guanhães,-18.7713,-42.9312
Guaraciaba,-20.5716,-43.0094
Guaraciama,-17.0142,-43.6675
Guarani,-21.3563,-43.0328
Guaranésia,-21.3009,-46.7964
Guarará,-21.7304,-43.0334
Guidoval,-21.155,-42.7887
Guimarânia,-18.8425,-46.7901
Guiricema,-21.0098,-42.7207
Gurinhatã,-19.2143,-49.7876
Heliodora,-22.0644,-45.5453
Iapu,-19.4387,-42.2147
Ibertioga,-21.433,-43.9639
Ibiaí,-16.8591,-44.9046
Ibiracatu,-15.6605,-44.1667
Ibiraci,-20.4611,-47.1222
Ibirité,-20.0252,-44.0569
Ibitiúra de Minas,-22.0604,-46.4368
Ibituruna,-21.1541,-44.7479
Ibiá,-19.4749,-46.5474
Icaraí de Minas,-16.214,-44.9034
Igarapé,-20.0707,-44.2994
Iguatama,-20.1776,-45.7111
Ijaci,-21.1738,-44.9233
Ilicínea,-20.9402,-45.8308
Imbé de Minas,-19.6017,-41.9695
Inconfidentes,-22.3136,-46.3264
Indaiabira,-15.4911,-42.2005
Indianópolis,-19.0341,-47.9155
Ingaí,-21.4024,-44.9152
Inhapim,-19.5476,-42.1147
Inhaúma,-19.4898,-44.3934
Inimutaba,-18.7271,-44.3584
Ipaba,-19.4158,-42.4139
Ipanema,-19.7992,-41.7164
Ipiaçu,-18.6927,-49.9436
Ipuiúna,-22.1013,-46.1915
Iraí de Minas,-18.9819,-47.461
Itabira,-19.6239,-43.2312
Itabirinha,-18.5712,-41.234
Itabirito,-20.2501,-43.8038
Itacambira,-17.0625,-43.3069
Itaguara,-20.3947,-44.4875
Itaipé,-17.4014,-41.6697
Itajubá,-22.4225,-45.4598
Itamarandiba,-17.8552,-42.8561
Itamarati de Minas,-21.4179,-42.813
Itambacuri,-18.035,-41.683
Itambé do Mato Dentro,-19.4158,-43.3182
Itamogi,-21.0758,-47.046
Itamonte,-22.2859,-44.868
Itanhandu,-22.2942,-44.9382
Itanhomi,-19.1736,-41.863
Itaobim,-16.5571,-41.5017
Itapagipe,-19.9062,-49.3781
Itapecerica,-20.4704,-45.127
Itapeva,-22.7665,-46.2241
Itatiaiuçu,-20.1983,-44.4211
Itaverava,-20.6769,-43.6141
Itaú de Minas,-20.7375,-46.7525
Itaúna,-20.0818,-44.5801
Itinga,-16.61,-41.7672
Itueta,-19.3999,-41.1746
Itumirim,-21.3171,-44.8724
Itutinga,-21.3,-44.6567
Jacinto,-16.1428,-40.295
Jacutinga,-22.286,-46.6166
Jacuí,-21.0137,-46.7359
Jaguaraçu,-19.647,-42.7498
Jampruca,-18.461,-41.809
Japaraíba,-20.1442,-45.5015
Japonvar,-15.9891,-44.2758
Jeceaba,-20.5339,-43.9894
Jenipapo de Minas,-17.0831,-42.2589
Jequeri,-20.4542,-42.6651
Jequitibá,-19.2345,-44.0304
Jesuânia,-21.9887,-45.2911
Joanésia,-19.1729,-42.6775
Joaquim Felício,-17.758,-44.1643
Joaíma,-16.6522,-41.0229
Jordânia,-15.9009,-40.1841
Josenópolis,-16.5417,-42.5151
José Gonçalves de Minas,-16.9053,-42.6014
José Raydan,-18.2195,-42.4946
João Monlevade,-19.8126,-43.1735
Juatuba,-19.9448,-44.3451
Juramento,-16.8473,-43.5865
Juruaia,-21.2493,-46.5735
Juvenília,-14.2662,-44.1597
Ladainha,-17.6279,-41.7488
Lagamar,-18.1759,-46.8063
